county_name,State,county formatted,crime_rate_per_100000,PCTPOVALL_2020,diversity index,noaa/temp-jan,noaa/temp-apr,noaa/temp-jul,noaa/temp-oct,edu/some-college,bls/2020/unemployed,life-expectancy,population/2019,avg_income,poverty-rate,Unemployment_rate,cost-of-living/living_wage,cost-of-living/food_costs,cost-of-living/medical_costs,cost-of-living/housing_costs,cost-of-living/tax_costs
"Adams County, OH", OH,Adams County OH,67.60362925,20.6,0.062672,28.9,51.1,72.2,52.7,22.5,1013,75.15,27698,34632,19.1,4,13.34,3246,2720,6768,5065
"Adams County, PA", PA,Adams County PA,112.2643925,8,0.185165,29.5,51.1,74.4,53.6,26.6,3742,79.85,103009,49173,7.6,4.8,12.97,3690,2729,7680,3763
"Adams County, WA", WA,Adams County WA,230.7651964,12.7,0.489189,30.7,48.4,69.7,49.3,24,677,79.19,19983,42800,16.8,3.1,12.95,3792,2206,7680,3758
"Adams County, WI", WI,Adams County WI,112.3046875,12.3,0.174593,15.1,44.9,70.5,47.6,31.1,766,77.77,20220,38736,11.6,3,13.51,3246,2754,6180,5975
"Addison County, VT", VT,Addison County VT,59.79723302,8.4,0.120942,17.9,43.8,68.8,47,24.8,989,80.8,36777,51805,7.9,3.3,14.09,3690,2760,8616,5129
"Aiken County, SC", SC,Aiken County SC,331.3517201,13,0.482243,43.8,63.4,82,63.5,28.8,3788,77.12,170872,42511,12.5,4.1,14.84,3177,2662,8268,6956
"Aitkin County, MN", MN,Aitkin County MN,139.7535256,11.1,0.107822,9,41.3,67.8,44.3,36.3,603,80.35,15886,39780,12.5,4.1,14.11,3246,2696,6888,6583
"Alachua County, FL", FL,Alachua County FL,605.2451953,17.2,0.547155,53.9,67.3,81.1,70.5,28.1,7235,78.64,269043,44390,18.4,3.1,13.64,3177,2792,8652,3959
"Alamance County, NC", NC,Alamance County NC,436.5907059,15.1,0.5098,38.7,58.8,78.5,59.2,33.8,5832,77.66,169509,39342,14.6,2.5,13.73,3177,2728,7212,5640
"Alameda County, CA", CA,Alameda County CA,753.6935735,8.6,0.740399,49.1,58.2,68.1,62.9,23.5,71396,81.46,1671329,76644,8.9,2.8,21.88,3792,2545,17856,11821
"Alamosa County, CO", CO,Alamosa County CO,178.4285978,16.7,0.543385,17.8,41.5,64.1,43.7,33.3,535,77.43,16233,37351,19.6,6.9,13.81,3792,2810,7272,5335
"Albany County, NY", NY,Albany County NY,330.6781345,11.3,0.420065,21.9,46.4,70.4,48.8,27.4,11299,80.07,305506,61201,11.7,5.7,15.12,3690,2935,8964,6745
"Albany County, WY", WY,Albany County WY,117.5778954,15.3,0.2923,22.9,39.4,64.5,42.8,29.5,780,80.54,38880,40444,16,3.2,12.69,3792,2570,6852,3683
"Albemarle County, VA", VA,Albemarle County VA,103.8834951,6.3,0.379061,34.7,55.6,76,57,21.2,3002,81.18,109330,74613,6.7,3.4,15.63,3177,2866,10248,6418
"Alcona County, MI", MI,Alcona County MI,132.3501607,14,0.070326,18.9,41,67.2,46.4,33.1,382,78.26,10405,38375,18,2.9,13.57,3246,2594,7308,5137
"Alcorn County, MS", MS,Alcorn County MS,184.450834,17,0.285366,38.7,59.4,79.3,60,32,961,74.16,36953,36003,17.3,3.6,12.9,3177,2724,5904,5236
"Aleutians East Borough, AK", AK,Aleutians East Borough AK,404.375778,15.1,0.738867,30.1,34.9,51.6,41.4,30.5,100,83.73,3337,56676,14.8,3,14.67,3792,2814,10140,4256
"Aleutians West Census Area, AK", AK,Aleutians West Census Area AK,235.8918527,8.1,0.769346,29.9,34.7,48.3,42.1,33.4,169,83.73,5634,54385,7.6,3.2,16.67,3792,2814,13728,4837
"Alexander County, IL", IL,Alexander County IL,1664.700485,24.2,0.520524,34.2,58,78.6,59,32.9,188,74.15,5761,34713,24,2.9,13.38,3246,2862,6504,5273
"Alexander County, NC", NC,Alexander County NC,111.0208503,11.8,0.227105,39.5,58.1,77.7,60,29.5,1317,77.48,37497,37438,11.7,2.8,13.5,3177,2728,6828,5545
"Alexandria city, VA", VA,Alexandria City VA,164.5488005,8,0.641095,36,56.8,79.8,59.5,18.3,6011,81.7,159428,88008,8.6,2.5,19.92,3177,2866,17484,8110
"Alfalfa County, OK", OK,Alfalfa County OK,119.7195143,15.7,0.271199,34,57.1,82.7,59.5,25.9,99,78.21,5702,40624,15.8,9.2,13.15,3177,2646,6276,5464
"Alger County, MI", MI,Alger County MI,157.5299307,12.1,0.272016,17.6,39.1,64.8,45.7,27.3,338,79.49,9108,33767,12.6,6,12.77,3246,2594,5940,4832
"Allamakee County, IA", IA,Allamakee County IA,84.69193309,10.9,0.159016,17.2,47.4,72,50.2,31.1,359,79.9,13687,45745,13,2.7,13.55,3246,2791,5964,6243
"Allegan County, MI", MI,Allegan County MI,200.8335481,7.3,0.202402,24.3,47,70.8,51,30.4,4543,79.13,118081,45182,10.8,4.2,13.52,3246,2594,7224,5118
"Allegany County, MD", MD,Allegany County MD,364.5217013,14.7,0.223516,29,51,72.9,53,29.5,2398,77.6,70416,40517,16,2.8,13.16,3177,3001,6228,5172
"Allegany County, NY", NY,Allegany County NY,137.1884679,15.1,0.096853,21.9,43.8,66.9,47.3,33.3,1536,79.05,46091,34880,17.9,2.4,13.63,3690,2935,6492,6112
"Alleghany County, NC", NC,Alleghany County NC,18.28320687,18.1,0.231248,32.2,51.3,73.5,54,31.2,307,77.86,11137,37549,16.9,4.7,13.05,3177,2728,6072,5359
"Alleghany County, VA", VA,Alleghany County VA,105.1915104,11.7,0.15444,32.4,52.8,73.3,54.7,30.6,444,76.35,14860,40061,11.5,5.6,13.1,3177,2866,5988,5422
"Allegheny County, PA", PA,Allegheny County PA,409.4916311,10.5,0.342197,28.8,50.9,73.2,53.2,26,57367,78.5,1216045,62958,10.8,4.9,13.11,3690,2729,7932,3804
"Allen County, IN", IN,Allen County IN,285.3884423,11.4,0.408551,24.4,49.4,73,52.2,32.6,14203,78.31,379299,46288,10.5,2.6,12.89,3246,2848,6132,4653
"Allen County, KS", KS,Allen County KS,243.8281012,14.5,0.165955,30.8,55,78.8,57.4,38.5,347,76.57,12369,40218,17.3,8.3,13.27,3246,2543,6468,5405
"Allen County, KY", KY,Allen County KY,39.387524,15.3,0.08924,34.9,57.2,76,58.3,27.5,476,75.88,21315,32643,16.8,4.1,13.24,3177,3022,5916,5623
"Allen County, OH", OH,Allen County OH,530.8742806,12.9,0.314216,26.2,50.4,73.4,53.2,32.5,4122,77.95,102351,42816,12.9,3.2,13,3246,2720,6192,4946
"Allen Parish, LA", LA,Allen Parish LA,93.98128206,21.1,0.446437,49.3,66.6,82,67.8,24.1,778,77.13,25627,33381,21.6,2.7,13.34,3177,3042,6504,5232
"Allendale County, SC", SC,Allendale County SC,376.0544771,31.6,0.412457,45.5,63.1,81.2,64.6,24.7,249,72.88,8688,33237,30.2,3.1,13.39,3177,2662,5892,6326
"Alpena County, MI", MI,Alpena County MI,182.1869307,15.6,0.076088,19.5,41.4,67.6,46.5,40.2,1021,78.7,28405,40985,13.9,2.6,12.89,3246,2594,6156,4880
