county_name,State,county formatted,crime_rate_per_100000,PCTPOVALL_2020,diversity index,noaa/temp-jan,noaa/temp-apr,noaa/temp-jul,noaa/temp-oct,temp_avg,edu/some-college,bls/2020/unemployed,life-expectancy,population/2019,avg_income,poverty-rate,Unemployment_rate,cost-of-living/living_wage,cost-of-living/food_costs,cost-of-living/medical_costs,cost-of-living/housing_costs,cost-of-living/tax_costs,cost_sum,p_cost,p_temperature,p_life,p_edu,p_safe,p_wealth,p_employment
"Dyer County, TN", TN,Dyer County TN,688.2474551,16.7,0.33106,36.6,59.3,79.6,60.2,58.925,28.9,1276,74.73,37159,40642,17.3,4.1,11.75,3177,2813,5232,3408,14641.75,99,30,88,64,3,56,58
"Eagle County, CO", CO,Eagle County CO,171.5592833,6.4,0.456385,18.8,39.9,63.1,42.7,41.125,25.9,3389,85.94,55127,78152,7.9,3.3,16.13,3792,2810,11208,6233,24059.13,5,96,0,82,56,1,78
"Early County, GA", GA,Early County GA,635.553026,24,0.53262,50.9,65.5,81.4,68.1,66.475,28.2,256,73.76,10190,38945,27.3,3,12.95,3177,2713,5676,5562,17140.95,70,6,95,68,4,63,84
"East Baton Rouge Parish, LA", LA,East Baton Rouge Parish LA,667.0754469,16.4,0.574996,51.1,67.6,82.6,68.9,67.55,28.3,17777,76.35,440059,51386,17.7,3.1,14.3,3177,3042,8136,5589,19958.3,20,4,72,68,3,18,82
"East Carroll Parish, LA", LA,East Carroll Parish LA,557.843007,37.6,0.453534,44,64.1,82.5,65.7,64.075,21.1,214,72.17,6861,36010,38.4,4.5,13.38,3177,3042,6564,5245,18041.38,47,12,98,97,7,77,46
"East Feliciana Parish, LA", LA,East Feliciana Parish LA,20.2757502,19.9,0.525809,47.9,64.5,80.1,66.4,64.725,23.9,518,72.64,19135,42771,18.7,4.3,14.3,3177,3042,8136,5589,19958.3,20,10,98,90,98,46,52
"Eastland County, TX", TX,Eastland County TX,230.2000548,17,0.334216,43.4,62.8,81.6,64.6,63.1,36.8,497,75.33,18360,71142,16.7,4.4,11.91,3177,2760,5580,3456,14984.91,99,15,83,12,42,2,49
"Eaton County, MI", MI,Eaton County MI,174.4379223,7.8,0.28756,23.4,47.4,71.5,50.3,48.15,38.8,4309,79.66,110268,42693,7.5,3.4,14.08,3246,2594,8184,5332,19370.08,26,76,22,6,55,46,75
"Eau Claire County, WI", WI,Eau Claire County WI,159.7034642,9.8,0.162475,12.8,44.8,70.3,46,43.475,36.7,3235,80.57,104646,48240,10.6,3.3,13.5,3246,2754,6168,5972,18153.5,45,92,10,12,59,26,78
"Echols County, GA", GA,Echols County GA,303.1797588,20.6,0.512089,50.6,65.5,81,68.5,66.4,22.5,74,77.31,4006,27880,21.6,5.4,13.49,3177,2713,6588,5789,18280.49,41,6,59,94,28,98,28
"Ector County, TX", TX,Ector County TX,781.9089826,13.6,0.540002,44.6,65.2,82.6,65.6,64.5,30.2,9116,75.07,166223,47271,12.1,3.2,14.03,3177,2760,9372,4070,19393.03,26,11,85,54,2,29,80
"Eddy County, ND", ND,Eddy County ND,41.59733777,11.2,0.156679,7.8,42.3,69.2,43.7,40.75,34,57,77.22,2287,54013,10,2.4,13.11,3246,2632,7308,4135,17334.11,66,96,60,26,94,13,94
"Eddy County, NM", NM,Eddy County NM,569.6670332,12.8,0.536931,42.9,62,80.1,62.5,61.875,31.6,2316,76.25,58460,54122,11.2,3,14.77,3792,2982,8364,6069,21221.77,13,19,73,43,6,13,84
"Edgar County, IL", IL,Edgar County IL,317.3719376,11.7,0.053069,26.2,52.7,75.5,54.8,52.3,35.5,588,77.33,17161,42184,13.2,4.7,12.89,3246,2862,5688,5082,16890.89,77,57,58,18,25,48,41
"Edgecombe County, NC", NC,Edgecombe County NC,615.3956886,24.1,0.52618,39.6,58.6,79.5,61.1,59.7,30.1,2191,75.06,51472,34946,21,3.1,13.49,3177,2728,6816,5543,18277.49,42,27,85,55,4,81,82
"Edgefield County, SC", SC,Edgefield County SC,192.9187472,16.8,0.543149,42.8,61.2,80.6,62.4,61.75,29.6,552,77.82,27260,36436,15.7,4.5,14.84,3177,2662,8268,6956,21077.84,14,20,51,59,49,75,46
"Edmonson County, KY", KY,Edmonson County KY,91.19548997,15.8,0.081699,35.4,57.9,77.7,59.2,57.55,28.5,352,77.59,12150,32253,16,3.8,14.19,3177,3022,7500,6012,19725.19,22,35,55,66,80,91,66
"Edmunds County, SD", SD,Edmunds County SD,151.7281133,12.2,0.074051,13.1,44,71.3,45.5,43.475,32.3,58,80.72,3829,52029,10.7,5,12.21,3246,2831,5844,3544,15477.21,97,92,9,38,61,17,34
"Edwards County, IL", IL,Edwards County IL,239.8081535,10.7,0.060726,31,56,78,57.9,55.725,43.5,219,77.46,6395,40331,11.8,3.7,12.89,3246,2862,5688,5082,16890.89,77,43,57,0,40,57,68
"Edwards County, KS", KS,Edwards County KS,33.95585739,10.8,0.353978,31.6,54.8,79.6,57,55.75,39.1,44,77.96,2798,52165,11.7,3.8,13.16,3246,2543,6288,5364,17454.16,60,42,49,5,96,16,66
"Edwards County, TX", TX,Edwards County TX,53.07855626,19.1,0.510336,47.4,66.2,81.2,67,65.45,31.3,44,79.51,1932,35182,20.7,3.7,12.47,3177,2760,6588,3619,16156.47,91,8,24,45,91,80,68
"Effingham County, GA", GA,Effingham County GA,89.98090201,8.1,0.335964,49.5,65.6,82.6,67.9,66.4,30.8,1573,76.74,64296,41942,9.1,4.6,15.58,3177,2713,10056,6654,22615.58,8,6,67,49,81,50,44
"Effingham County, IL", IL,Effingham County IL,104.9348529,9.3,0.066426,28,53.4,76.4,55.3,53.275,34.5,1277,79.01,34008,50599,9.2,4.2,13.32,3246,2862,6408,5250,17779.32,53,53,32,23,76,20,56
"El Dorado County, CA", CA,El Dorado County CA,244.309084,8.4,0.355694,39.8,48.4,71,55.8,53.75,37.9,7490,81.06,192843,67464,8.7,4.1,16.99,3792,2545,11424,8076,25853.99,2,52,7,8,39,3,58
"El Paso County, CO", CO,El Paso County CO,379.058506,9.1,0.465689,27.7,42.6,66.6,46.4,45.825,35.3,25036,79.83,720403,48467,8.8,4.3,14.78,3792,2810,8916,5710,21242.78,13,84,19,19,18,25,52
"El Paso County, TX", TX,El Paso County TX,391.4376636,17.6,0.322012,44.7,64.4,82.1,64.8,64,31.4,30094,79.79,839238,35856,18.8,4.2,12.41,3177,2760,6468,3600,16017.41,92,13,20,44,17,77,56
"Elbert County, CO", CO,Elbert County CO,46.34896558,4.8,0.185524,29.4,45.4,70.4,48.9,48.525,36.8,697,81.68,26729,57334,5.7,4.1,17.4,3792,2810,13368,6726,26713.4,2,74,3,12,92,9,58
"Elbert County, GA", GA,Elbert County GA,377.5702842,23.8,0.503023,39.3,57.6,77,58.5,58.1,25.9,551,74.78,19194,35448,20.6,3,13.36,3177,2713,6360,5733,17996.36,48,32,88,82,18,79,84
"Elk County, KS", KS,Elk County KS,244.4650856,15.1,0.147706,31.6,56,79.4,57.8,56.2,30.3,56,77.27,2530,40899,19.4,2.5,13.16,3246,2543,6288,5364,17454.16,60,40,59,53,39,55,93
"Elk County, PA", PA,Elk County PA,79.41802471,8.3,0.045325,22.2,44,67,47.8,45.25,24.7,1871,79.04,29910,48886,9.8,3.8,11.82,3690,2729,5616,3428,15474.82,98,86,32,87,84,24,66
"Elkhart County, IN", IN,Elkhart County IN,405.8575111,9.8,0.391267,24.2,49.3,72.2,51.8,49.375,26.3,8339,78.78,206341,46816,9.6,1.9,13.04,3246,2848,6384,4706,17197.04,69,71,35,80,15,30,97
"Elko County, NV", NV,Elko County NV,351.2522908,11.2,0.47965,24.2,42.3,67.2,45.1,44.7,37,1527,78.31,52778,46808,11,2.9,13.09,3792,2614,7512,3797,17728.09,55,88,43,11,21,30,86
"Elliott County, KY", KY,Elliott County KY,39.28244075,28.8,0.098051,31.1,54.8,76,56.1,54.5,21.9,198,75.6,7517,22481,27.7,3.7,12.94,3177,3022,5412,5499,17122.94,71,48,80,95,94,99,68
"Ellis County, KS", KS,Ellis County KS,409.4835002,16,0.173897,29.2,53.2,79.1,55.3,54.2,30.1,592,79.65,28553,46465,13.1,2.7,13.22,3246,2543,6384,5386,17572.22,58,50,22,55,15,31,90
"Ellis County, OK", OK,Ellis County OK,119.9040767,11.2,0.220857,34.4,55.9,79.4,57.9,56.9,31.2,97,77.03,3859,51570,13,3.5,13.28,3177,2646,6480,5512,17828.28,52,37,63,46,71,18,73
"Ellis County, TX", TX,Ellis County TX,142.9707134,7.9,0.518114,45.2,64.4,83.7,66.6,64.975,34.2,5641,77.77,184826,44313,8.7,2.4,15.21,3177,2760,11484,4413,21849.21,10,10,52,24,64,39,94
"Ellsworth County, KS", KS,Ellsworth County KS,203.1884964,10.6,0.245588,29.2,52.8,79.1,55.6,54.175,37.8,89,78.88,6102,43316,9.6,4,13.16,3246,2543,6288,5364,17454.16,60,50,34,9,47,43,61
"Elmore County, AL", AL,Elmore County AL,284.2945786,11.5,0.408283,45.1,61.8,80,64.6,62.875,29.1,1777,75.93,81209,42269,11.4,2.9,13.58,3177,2889,6996,5395,18470.58,37,16,76,63,31,48,86
"Elmore County, ID", ID,Elmore County ID,240.7336645,11.7,0.417374,29.8,48.9,74.6,51.1,51.1,44.4,576,78.46,27511,36855,14.1,1.8,14.08,3792,2470,7020,6499,19795.08,22,63,41,0,40,73,98
"Emanuel County, GA", GA,Emanuel County GA,612.2359732,26.4,0.522544,48.4,64.9,81.6,66.5,65.35,24.7,603,73.37,22646,32187,20.9,1.8,13.19,3177,2713,6084,5664,17651.19,56,8,96,87,5,91,98
"Emery County, UT", UT,Emery County UT,74.42552796,9.3,0.160412,23.4,46.6,72.1,48.4,47.625,47.3,206,77.99,10012,33145,10.9,2.6,13.07,3792,2694,6036,5150,17685.07,55,78,49,0,85,88,91
"Emmet County, IA", IA,Emmet County IA,170.0680272,10.2,0.220799,15.4,46.2,71.6,48,45.3,39,250,79.65,9208,43501,11.4,2.8,13.55,3246,2791,5964,6243,18257.55,42,86,22,5,56,42,88
"Emmet County, MI", MI,Emmet County MI,126.7350634,8.7,0.158674,18.8,40.5,66.2,46.7,43.05,35.8,1804,80.05,33415,57115,9.2,3.2,12.94,3246,2594,6240,4899,16991.94,75,93,16,17,70,10,80
"Emmons County, ND", ND,Emmons County ND,131.7706338,13.7,0.056905,11.9,42.7,70.6,44.5,42.425,33.9,74,80.09,3241,49489,13.7,2.1,12.9,3246,2632,6948,4071,16909.9,77,94,16,26,68,23,96
"Emporia city, VA", VA,Emporia City VA,572.6556908,19.1,0.503525,38.5,57.9,78.7,59.8,58.725,31.8,261,74.37,5346,32391,20.5,3.4,13.49,3177,2866,6636,5573,18265.49,42,31,90,41,6,90,75
"Erath County, TX", TX,Erath County TX,143.7288819,12.6,0.380883,43.8,63.4,82,65,63.55,30.5,1150,78.45,42698,39572,15.2,3.2,13.15,3177,2760,7800,3816,17566.15,58,14,41,52,64,61,80
"Erie County, NY", NY,Erie County NY,459.3060294,13.2,0.385703,23.3,45,68.8,49.6,46.675,29.9,41755,78.51,918702,51539,13.3,2.6,14.59,3690,2935,8088,6521,21248.59,12,81,40,57,11,18,91
"Erie County, OH", OH,Erie County OH,186.7241742,10.9,0.276188,27.2,49.1,74.3,54.3,51.225,31.4,3826,77.96,74266,62591,11.6,3,13,3246,2720,6192,4946,17117,71,62,49,44,51,5,84
"Erie County, PA", PA,Erie County PA,247.9539341,13.4,0.254506,26,47.2,70.3,51.8,48.825,24.9,12418,78.37,269728,44903,16.6,2.7,12.57,3690,2729,6960,3646,17037.57,74,73,42,86,38,37,90
"Escambia County, AL", AL,Escambia County AL,618.6978385,20.4,0.525935,48.2,64.5,80.8,66.2,64.925,24.9,864,74.15,36633,32996,20.5,3.1,12.81,3177,2889,5688,5089,16855.81,80,10,92,86,4,88,82
"Escambia County, FL", FL,Escambia County FL,798.51676,13.5,0.510463,51.2,66.2,82,69.4,67.2,36.7,9671,76.33,318316,42537,15.5,2.1,14.16,3177,2792,9576,4109,19668.16,23,4,72,12,1,47,96
"Esmeralda County, NV", NV,Esmeralda County NV,240.3846154,14.4,0.443834,32,50.9,76.3,53.5,53.175,31.6,21,75.48,873,40113,13.8,2.8,12.01,3792,2614,5580,3484,15482.01,97,54,81,43,40,58,88
"Essex County, MA", MA,Essex County MA,374.1394007,9,0.411591,25.9,46.5,71.2,51,48.65,24.4,40585,80.51,789034,67507,8.8,1.9,18.88,3690,3048,17951,5479,30186.88,1,74,11,88,19,3,97
"Essex County, NJ", NJ,Essex County NJ,659.9836619,14.3,0.667286,28.9,50.4,74.3,53.4,51.75,22.6,43674,78.47,798975,67459,13.8,2.2,16.05,3690,2864,12408,5312,24290.05,4,60,41,94,3,3,95
"Essex County, NY", NY,Essex County NY,121.2527733,10.2,0.142482,15.9,41.2,66.5,45.2,42.2,30.2,1344,80.11,36885,45996,12.4,2.1,14.51,3690,2935,7956,6487,21082.51,13,94,16,54,71,33,96
"Essex County, VA", VA,Essex County VA,267.1653754,12.3,0.546371,38.3,58.2,78.8,60,58.825,27.2,382,76.75,10953,42334,16.2,2.1,14.12,3177,2866,7704,5823,19584.12,24,30,67,75,34,48,96
"Essex County, VT", VT,Essex County VT,128.4261401,12.7,0.077938,12.4,39.9,65.8,43.7,40.45,24.7,170,79.7,6163,36008,14.8,3.1,13.12,3690,2760,6960,4777,18200.12,44,97,21,87,69,77,82
"Estill County, KY", KY,Estill County KY,27.60905577,20.6,0.041412,33.2,53.7,74.8,55.1,54.2,20,387,73.23,14106,31555,22.7,4.3,12.92,3177,3022,5376,5490,17077.92,71,50,97,98,97,93,52
"Etowah County, AL", AL,Etowah County AL,513.8024266,15.6,0.35812,41.3,61.5,80.7,62.9,61.6,33.9,3126,73.85,102268,36918,18.8,1.9,13.16,3177,2889,6276,5226,17581.16,58,20,94,26,9,73,97
"Eureka County, NV", NV,Eureka County NV,289.017341,10.3,0.321336,26.1,43.6,69.6,47.2,46.625,38.4,36,77.54,2029,39903,9.9,2.9,12.79,3792,2614,6972,3710,17100.79,71,82,56,7,30,59,86
"Evangeline Parish, LA", LA,Evangeline Parish LA,41.69396629,24.5,0.458428,50.6,68.3,83.8,69.8,68.125,22.6,920,74.05,33395,33671,28.6,3,13.58,3177,3042,6912,5321,18465.58,38,3,93,94,94,86,84
"Evans County, GA", GA,Evans County GA,120.0036924,19.6,0.568559,48.5,64.3,82.1,66.8,65.425,21.6,257,74.74,10654,35212,24.1,1.7,13.23,3177,2713,6156,5682,17741.23,54,8,88,96,71,80,98
"Fairbanks North Star Borough, AK", AK,Fairbanks North Star Borough AK,182.2055837,7.2,0.468523,-4.1,32,60.8,23.9,28.15,40.5,2841,79.35,96849,56606,7.2,1.2,14.79,3792,2814,10356,4291,21267.79,12,99,26,2,53,10,99
"Fairfax city, VA", VA,Fairfax City VA,87.59854837,7.2,0.580696,32.6,53.9,74.6,55,54.025,19.8,734,83.73,24019,82441,7.1,2.8,19.92,3177,2866,17484,8110,31656.92,0,51,0,98,81,1,88
"Fairfax County, VA", VA,Fairfax County VA,79.75779097,5.3,0.649676,32.6,53.9,74.6,55,54.025,18.1,36515,83.73,1147532,82441,6,1.4,19.92,3177,2866,17484,8110,31656.92,0,51,0,99,84,1,99
"Fairfield County, CT", CT,Fairfield County CT,291.8383154,8.8,0.531964,28.2,49.4,73.5,52.9,51,20.6,37044,81.8,943332,120630,9,2.6,17.6,3690,3046,13625,7137,27515.6,2,64,2,97,29,0,91
"Fairfield County, OH", OH,Fairfield County OH,159.2025096,7.5,0.21832,28.2,51.3,74,53.3,51.7,31,5198,78.95,157574,46113,8.1,2.9,14.12,3246,2720,8124,5345,19449.12,25,60,33,48,59,32,86
"Fairfield County, SC", SC,Fairfield County SC,675.0616643,17.6,0.510092,42.6,61.5,80.8,62.6,61.875,28,760,73.79,22347,36758,19.1,1.8,14.96,3177,2662,8472,7010,21335.96,12,19,94,70,3,74,98
"Fall River County, SD", SD,Fall River County SD,87.73212458,15.4,0.25854,24.9,46.3,73.6,48.3,48.275,38.3,179,76.31,6713,46885,13.9,2.6,12.28,3246,2831,5964,3563,15616.28,96,75,73,7,81,30,91
"Fallon County, MT", MT,Fallon County MT,222.4670289,9.4,0.085577,17.7,43.2,70.8,44.2,43.975,38.1,66,78.77,2846,49509,9.7,3,13.9,3792,2450,6600,6574,19429.9,25,91,36,8,43,23,84
"Falls Church city, VA", VA,Falls Church City VA,88.83624519,3.3,0.450661,34.2,56.2,78.3,57.8,56.625,14.1,314,81.81,14617,82441,3.5,2.2,19.92,3177,2866,17484,8110,31656.92,0,38,2,99,81,1,95
"Falls County, TX", TX,Falls County TX,188.6468873,20,0.61956,47.5,66,83.5,68.6,66.4,26,390,76.13,17297,34619,21.6,2.7,12.26,3177,2760,6204,3557,15710.26,96,6,74,82,50,82,90
"Fannin County, GA", GA,Fannin County GA,357.7441077,15.6,0.087389,37.8,55.2,75.2,57.2,56.35,31.3,524,76.94,26188,35727,12.1,1.6,13.93,3177,2713,7308,5969,19180.93,29,40,64,45,20,78,99
"Fannin County, TX", TX,Fannin County TX,193.1132832,15.4,0.349068,41.7,61.4,81.9,63.6,62.15,32.8,788,75.87,35514,37605,13.2,3.1,12.48,3177,2760,6600,3621,16170.48,91,18,77,34,49,70,82
"Faribault County, MN", MN,Faribault County MN,112.747516,10.3,0.146195,14.6,46.3,72.4,48.6,45.475,36.3,436,80.59,13653,43343,12.2,2.1,13.36,3246,2696,5652,6255,17862.36,51,85,10,14,74,43,96
"Faulk County, SD", SD,Faulk County SD,41.91114837,18.7,0.051117,15.3,45.5,72.6,47.4,45.2,31.9,36,81.09,2299,42762,15.7,3.4,12.36,3246,2831,6108,3587,15784.36,95,86,6,41,94,46,75
"Faulkner County, AR", AR,Faulkner County AR,314.4338518,12,0.322705,37.4,59.1,80.2,60.5,59.3,30.8,3361,77.23,126007,37598,14.4,2,14.34,3177,2633,7680,6546,20050.34,19,28,60,49,26,70,97
"Fauquier County, VA", VA,Fauquier County VA,81.83671344,6,0.326766,33.6,54.8,76,56.1,55.125,29.5,1721,79.36,71222,70787,6.1,3.3,19.92,3177,2866,17484,8110,31656.92,0,45,26,60,83,2,78
"Fayette County, AL", AL,Fayette County AL,230.6464013,16.5,0.261504,41.4,60.6,79.8,61.8,60.9,28.9,326,73.98,16302,34966,17,2.2,12.81,3177,2889,5688,5089,16855.81,80,23,93,64,42,81,95
"Fayette County, GA", GA,Fayette County GA,78.43861025,5.3,0.512896,42.8,60.5,79.3,61.4,61,28.2,3055,81.22,114421,63515,5.4,4.3,16.72,3177,2713,11952,7126,24984.72,3,23,5,68,84,5,52
"Fayette County, IA", IA,Fayette County IA,175.5926251,11.8,0.102373,16,47,71.8,49.2,46,33.8,564,79.9,19650,44263,13.2,1.6,13.54,3246,2791,5952,6240,18242.54,44,84,18,27,54,39,99
"Fayette County, IL", IL,Fayette County IL,172.2574796,14.7,0.143706,28.5,54.2,76.7,55.5,53.725,32.4,723,78.76,21336,35456,15.1,2.8,13.1,3246,2862,6036,5163,17320.1,66,52,36,37,55,79,88
"Fayette County, IN", IN,Fayette County IN,4.190939189,13.5,0.07791,25.1,49.1,71.5,51.3,49.25,26.7,843,75.84,23102,40939,13.5,2.1,12.82,3246,2848,6012,4628,16746.82,83,72,78,78,100,54,96
"Fayette County, KY", KY,Fayette County KY,369.9404723,14.6,0.444007,32.9,55.3,76.2,57,55.35,28,9879,78.4,323152,50180,15.4,2.4,13.99,3177,3022,7164,5930,19306.99,27,44,42,70,19,21,94
"Fayette County, OH", OH,Fayette County OH,156.25,13.8,0.126397,28.5,52.6,73.5,54.5,52.275,23.5,1032,75.34,28525,38449,13.6,1.9,12.95,3246,2720,6096,4927,17001.95,75,58,83,92,60,66,97
"Fayette County, PA", PA,Fayette County PA,231.1128231,18.7,0.141828,27.8,49.1,70.7,51.1,49.675,23.1,6594,76.99,129274,42649,17.5,2.2,13.11,3690,2729,7932,3804,18168.11,45,70,64,93,42,46,95
"Fayette County, TN", TN,Fayette County TN,204.1871285,10.2,0.458204,39.3,60.8,80.4,61.6,60.525,31.9,1213,76.83,41133,55364,11.2,2.9,13.28,3177,2813,7980,3853,17836.28,52,24,66,41,47,11,86
"Fayette County, TX", TX,Fayette County TX,100.7211635,9.4,0.42817,51.1,68.5,84,70.8,68.6,27.3,555,79.26,25346,53564,10.9,2,12.53,3177,2760,6696,3637,16282.53,90,3,28,74,77,14,97
"Fayette County, WV", WV,Fayette County WV,269.7427575,20.8,0.138268,31.6,53.2,71.9,53.9,52.65,24.1,1622,74.3,42406,34577,20.6,3.9,13.38,3177,2662,6828,5359,18039.38,47,56,91,90,33,83,64
"Fentress County, TN", TN,Fentress County TN,251.270311,19.4,0.0569,34.4,54.6,73.4,55.6,54.5,23.4,489,73.43,18523,32232,20.9,2.4,12.12,3177,2813,5904,3517,15423.12,98,48,96,92,37,91,94
"Fergus County, MT", MT,Fergus County MT,252.1519868,13.6,0.106051,22,43.8,68.5,44.9,44.8,35.1,266,78.62,11050,43808,13.2,2.6,14.21,3792,2450,7104,6707,20067.21,19,88,39,20,37,41,91
"Ferry County, WA", WA,Ferry County WA,156.9448077,18.4,0.417565,24.2,44.3,64.6,43.5,44.15,33.3,285,76.96,7627,36071,18,1.8,12.24,3792,2206,6408,3552,15970.24,93,90,64,30,59,76,98
"Fillmore County, MN", MN,Fillmore County MN,52.79577634,8.2,0.05111,15.4,45.8,71,48,45.05,34.7,585,81.16,21067,45378,9.4,4.3,13.34,3246,2696,5628,6249,17832.34,52,87,6,22,91,35,52
"Fillmore County, NE", NE,Fillmore County NE,98.81473579,8.5,0.105533,25.5,51.4,76.1,53.2,51.55,37.2,87,79.03,5462,57068,8.5,2.2,12.89,3246,2783,5460,5385,16886.89,78,61,32,10,77,10,95
"Finney County, KS", KS,Finney County KS,417.812281,12.2,0.571327,30.6,52.6,78.1,55,54.075,31.8,712,79.19,36467,43172,13,1.8,13.55,3246,2543,6948,5514,18264.55,42,50,29,41,14,44,98
"Fisher County, TX", TX,Fisher County TX,155.6016598,13.3,0.465557,43.5,63.7,82.8,64.7,63.675,32.8,72,77.71,3830,46444,13.3,3,12.34,3177,2760,6348,3580,15877.34,93,14,53,34,60,31,84
"Flagler County, FL", FL,Flagler County FL,257.1131298,9.4,0.404212,55.4,67.9,80.4,73.6,69.325,32.8,3553,79.67,115081,46220,9.7,1.8,14.42,3177,2792,10044,4185,20212.42,18,2,22,34,36,32,98
"Flathead County, MT", MT,Flathead County MT,269.6952766,10.5,0.128123,22.6,41.7,63.3,41.2,42.2,34.3,3858,79.07,103806,47331,9.4,2.8,14.38,3792,2450,7380,6780,20416.38,16,94,31,24,33,29,88
"Fleming County, KY", KY,Fleming County KY,34.46374414,14.6,0.074067,33.9,55.9,76.6,57.5,55.975,26.5,449,74.47,14581,33537,21.1,2.2,12.92,3177,3022,5376,5490,17077.92,71,41,90,79,96,87,95
"Florence County, SC", SC,Florence County SC,451.8311814,17.1,0.539644,44.9,62.8,81.2,64,63.225,28.5,3744,74.5,138293,41833,17,2.1,14.24,3177,2662,7284,6695,19832.24,22,15,90,66,12,50,96
"Florence County, WI", WI,Florence County WI,243.3628319,10.6,0.072258,12.6,39.2,65.6,43.4,40.2,35.5,175,79.47,4295,54346,10.9,2.5,13.28,3246,2754,5808,5881,17702.28,55,97,25,18,39,13,93
"Floyd County, GA", GA,Floyd County GA,356.9154987,18.4,0.441415,41.4,60.4,79.8,61.5,60.775,27.2,2712,75.8,98498,38524,16.4,1.6,13.93,3177,2713,7308,5969,19180.93,29,24,78,75,21,66,99
"Floyd County, IA", IA,Floyd County IA,186.4280388,9.3,0.117192,16.9,48.2,72.3,49.7,46.775,34.9,499,79.72,15642,46560,11.7,3.2,13.55,3246,2791,5964,6243,18257.55,42,81,21,21,51,31,80
"Floyd County, IN", IN,Floyd County IN,188.8673207,11.5,0.207276,34.9,58,79.3,59.5,57.925,30.3,2671,77.17,78522,55480,10.6,2.3,13.61,3246,2848,7368,4912,18387.61,39,33,61,53,50,11,95
"Floyd County, KY", KY,Floyd County KY,41.31377815,28.3,0.0511,33.7,55.4,75.9,55.8,55.2,26.1,983,71.97,35589,36976,27.4,2.4,12.96,3177,3022,5448,5507,17166.96,69,45,99,81,94,73,94
"Floyd County, TX", TX,Floyd County TX,353.1300161,17.7,0.525607,38.3,58.4,79.8,60.4,59.225,30.6,155,78.25,5712,37367,17.3,2.8,12.34,3177,2760,6348,3580,15877.34,93,29,45,51,21,71,88
"Floyd County, VA", VA,Floyd County VA,57.95981453,10.9,0.117069,31.6,50.4,70.9,52.6,51.375,29.3,409,78.67,15749,38903,11.4,2.4,13.89,3177,2866,7308,5731,19095.89,29,61,37,61,90,64,94
"Fluvanna County, VA", VA,Fluvanna County VA,65.44250683,6.8,0.355058,35.4,55.5,76.4,56.4,55.925,33,722,80.79,27270,44693,7.3,2.4,15.63,3177,2866,10248,6418,22724.63,8,42,8,33,88,37,94
"Foard County, TX", TX,Foard County TX,156.6170713,16.8,0.389537,40.7,62.4,84.9,63.4,62.85,33.6,24,77.59,1155,42954,17,2.4,12.47,3177,2760,6588,3619,16156.47,91,16,55,28,60,45,94
"Fond du Lac County, WI", WI,Fond du Lac County WI,222.0082909,7.6,0.167201,17.6,45.5,70.7,48.5,45.575,32.7,3286,79.95,103403,48126,7.3,3,13.87,3246,2754,6780,6127,18920.87,31,85,18,35,44,27,84
"Ford County, IL", IL,Ford County IL,318.1029497,9.5,0.100249,23.9,50.5,73.7,52.8,50.225,33.6,402,77.37,12961,52879,10,1.6,14.68,3246,2862,8700,5786,20608.68,15,67,58,28,25,15,99
"Ford County, KS", KS,Ford County KS,381.9753583,10.3,0.549745,32.2,53.9,79.6,56.6,55.575,30.6,584,78.5,33619,38962,13.8,4.6,13.43,3246,2543,6744,5468,18014.43,47,43,40,51,18,63,44
"Forest County, PA", PA,Forest County PA,432.4465994,22.9,0.401317,23.8,45.7,69.1,49.4,47,17.5,191,76.34,7247,22787,26,2.8,12.28,3690,2729,6456,3564,16451.28,88,80,72,99,13,99,88
"Forest County, WI", WI,Forest County WI,76.70392286,12,0.323928,12.6,41,64.8,43.8,40.55,35,483,78.28,9004,41517,16.3,3.1,13.15,3246,2754,5580,5823,17416.15,62,97,44,20,85,52,82
"Forrest County, MS", MS,Forrest County MS,167.4041968,24.9,0.530621,48.3,65.4,81.8,67,65.625,32.4,2655,74.73,74897,38880,23.3,1.8,13.23,3177,2724,6456,5365,17735.23,54,7,88,37,57,64,98
"Forsyth County, GA", GA,Forsyth County GA,85.46352447,5.1,0.378991,39.2,58.1,77,59.7,58.5,24.3,5533,81.28,244252,62580,4.5,2.5,16.72,3177,2713,11952,7126,24984.72,3,31,5,89,82,5,93
"Forsyth County, NC", NC,Forsyth County NC,535.9614639,13,0.573836,38,57.9,77.5,59,58.1,29.5,13700,78.06,382295,48804,15.2,1.7,13.58,3177,2728,6960,5578,18456.58,38,32,48,60,8,25,98
"Fort Bend County, TX", TX,Fort Bend County TX,247.560798,7.4,0.736427,53.2,69.5,84.1,71.6,69.6,26.5,30538,81.84,811688,57540,6.6,2.2,14.33,3177,2760,9912,4158,20021.33,19,2,2,79,38,9,95
"Foster County, ND", ND,Foster County ND,131.7706338,7.9,0.066502,8.3,42,69.2,43.4,40.725,37.6,54,79.42,3210,62928,8.8,1.9,13.11,3246,2632,7308,4135,17334.11,66,96,25,9,68,5,97
"Fountain County, IN", IN,Fountain County IN,23.69668246,10.9,0.085304,24.4,50.8,73.5,53.3,50.5,30.4,505,77.25,16346,41010,12.5,2.1,12.91,3246,2848,6168,4660,16934.91,76,66,60,52,97,54,96
