county_name,State,county formatted,crime_rate_per_100000,PCTPOVALL_2020,diversity index,noaa/temp-jan,noaa/temp-apr,noaa/temp-jul,noaa/temp-oct,temp_avg,edu/some-college,bls/2020/unemployed,life-expectancy,population/2019,avg_income,poverty-rate,Unemployment_rate,cost-of-living/living_wage,cost-of-living/food_costs,cost-of-living/medical_costs,cost-of-living/housing_costs,cost-of-living/tax_costs,cost_sum,p_cost,p_temperature,p_life,p_edu,p_safe,p_wealth,p_employment
"Alamosa County, CO", CO,Alamosa County CO,178.4285978,16.7,0.543385,17.8,41.5,64.1,43.7,41.775,33.3,535,77.43,16233,37351,19.6,6.9,13.81,3792,2810,7272,5335,19222.81,28,95,57,30,54,71,10
"Albany County, NY", NY,Albany County NY,330.6781345,11.3,0.420065,21.9,46.4,70.4,48.8,46.875,27.4,11299,80.07,305506,61201,11.7,5.7,15.12,3690,2935,8964,6745,22349.12,9,81,16,74,24,6,23
"Albany County, WY", WY,Albany County WY,117.5778954,15.3,0.2923,22.9,39.4,64.5,42.8,42.4,29.5,780,80.54,38880,40444,16,3.2,12.69,3792,2570,6852,3683,16909.69,77,94,10,60,72,56,80
"Albemarle County, VA", VA,Albemarle County VA,103.8834951,6.3,0.379061,34.7,55.6,76,57,55.825,21.2,3002,81.18,109330,74613,6.7,3.4,15.63,3177,2866,10248,6418,22724.63,8,42,5,96,76,2,75
"Alcona County, MI", MI,Alcona County MI,132.3501607,14,0.070326,18.9,41,67.2,46.4,43.375,33.1,382,78.26,10405,38375,18,2.9,13.57,3246,2594,7308,5137,18298.57,41,92,44,32,68,66,86
"Alcorn County, MS", MS,Alcorn County MS,184.450834,17,0.285366,38.7,59.4,79.3,60,59.35,32,961,74.16,36953,36003,17.3,3.6,12.9,3177,2724,5904,5236,17053.9,73,28,92,40,52,77,71
"Aleutians East Borough, AK", AK,Aleutians East Borough AK,404.375778,15.1,0.738867,30.1,34.9,51.6,41.4,39.5,30.5,100,83.73,3337,56676,14.8,3,14.67,3792,2814,10140,4256,21016.67,14,98,0,52,15,10,84
"Aleutians West Census Area, AK", AK,Aleutians West Census Area AK,235.8918527,8.1,0.769346,29.9,34.7,48.3,42.1,38.75,33.4,169,83.73,5634,54385,7.6,3.2,16.67,3792,2814,13728,4837,25187.67,3,98,0,30,41,13,80
"Alexander County, IL", IL,Alexander County IL,1664.700485,24.2,0.520524,34.2,58,78.6,59,57.45,32.9,188,74.15,5761,34713,24,2.9,13.38,3246,2862,6504,5273,17898.38,49,36,92,33,0,82,86
"Alexander County, NC", NC,Alexander County NC,111.0208503,11.8,0.227105,39.5,58.1,77.7,60,58.825,29.5,1317,77.48,37497,37438,11.7,2.8,13.5,3177,2728,6828,5545,18291.5,41,30,57,60,74,71,88
